Name,1st Der M,Incl,RoA,Eccent,Arg of Peri,Mean Anom,Mean Motion
CALIPSO,2.1e-06,98.2675,39.2389,1383.0,78.3255,281.8101,14.62521642
RESURS DK-1,2.13e-06,69.9362,187.1131,4197.0,345.9098,14.1945,15.02664606
GENESIS 1,1.086e-05,64.519,95.7661,35247.0,334.4533,25.4847,15.18539511
KOMPSAT 2,1.15e-06,97.9537,328.8832,16717.0,345.8803,14.193,14.62347606
HINODE (SOLAR B),1.14e-06,98.1407,102.0434,18999.0,188.0976,171.9923,14.64540102
METOP-A,1.9e-07,98.4833,129.1205,1485.0,118.0072,35.564,14.21502307
SJ-6C,1.34e-06,97.8061,105.0358,4879.0,155.1604,204.9868,14.95082893
SJ-6D,3.66e-06,97.8259,105.2543,772.0,224.4157,135.7013,14.93586825
DMSP 5D-3 F17 (USA 191,4.4e-07,98.7894,104.4617,11012.0,93.1211,267.1222,14.14042027
COROT,2.4e-06,90.0506,21.4077,203226.0,125.3844,236.6536,14.44449994
LAPAN-TUBSAT,1.11e-06,97.9028,47.7844,11435.0,272.2672,87.7226,14.82272034
CARTOSAT 2AT,5.422e-05,97.8788,165.0776,172949.0,170.642,189.8109,15.20587942
PEHUENSAT 1,6.276e-05,97.4395,115.7814,6788.0,152.6767,207.4826,15.20428775
MIDSTAR 1,4.469e-05,46.0643,359.4016,3182.0,132.7115,227.4062,15.51357239
OE (NEXTSAT),5.179e-05,46.0014,322.2148,4399.0,63.3493,296.7862,15.45332052
STPSAT 1,3.144e-05,35.4543,93.5991,2204.0,67.5168,292.579,15.28878937
FALCONSAT 3,6.527e-05,35.4334,266.1715,3097.0,251.754,108.285,15.40006475
CFESAT,8.513e-05,35.4249,305.297,5536.0,252.0661,107.9462,15.39072879
HAIYANG 1B,8e-08,98.3676,124.9432,15082.0,95.7798,264.5105,14.30263584
EGYPTSAT 1,1.54e-06,97.8085,52.1909,6811.0,115.7531,244.4381,14.73071242
SAUDISAT 3,3e-07,97.912,40.9467,15187.0,175.2191,184.9162,14.6919611
SAUDICOMSAT 7,1.18e-06,98.1326,33.2049,61095.0,51.3323,309.3323,14.61849331
SAUDICOMSAT 6,8.1e-07,98.1807,28.3987,77285.0,142.4738,218.1891,14.58645088
CSTB 1,3.27e-06,98.2016,38.9719,79043.0,129.6324,231.1887,14.6119003
SAUDICOMSAT 5,1.34e-06,98.0993,35.3864,51714.0,3.5798,356.5764,14.63555799
SAUDICOMSAT 3,1.52e-06,98.0629,37.5497,42299.0,315.4422,44.3383,14.65329405
MAST,1.16e-06,98.2123,26.1565,89182.0,210.8948,148.6986,14.56895193
SAUDICOMSAT 4,1.09e-06,98.158,31.3365,69307.0,94.2965,266.6159,14.6036228
LIBERTAD 1,1.63e-06,98.2256,25.2901,95045.0,242.7896,116.3592,14.56291348
CP3,2.06e-06,98.2303,28.1496,93898.0,232.3918,126.873,14.57042024
CAPE 1,1.88e-06,98.2273,26.5065,94622.0,238.4215,120.772,14.56653094
CP4,1.85e-06,98.2008,32.5024,80939.0,153.8964,206.6352,14.59280235
AEROCUBE 2,1.76e-06,98.2008,32.7184,80950.0,153.1355,207.4072,14.59307791
AGILE,4.316e-05,2.4668,141.9585,11788.0,276.7161,83.1552,15.33292799
AAM/PSLV,0.00014299,2.5038,150.8541,4483.0,276.7859,83.1686,15.53069124
AIM,1.824e-05,97.8767,345.4905,6552.0,104.3236,255.8723,15.1422972
YAOGAN 2,5.1e-07,98.185,225.0769,19145.0,281.1279,78.7778,14.77038123
GLOBALSTAR M065,-1.13e-06,51.9897,242.2211,619.0,79.4685,0.7296,12.62272769
GLOBALSTAR M069,-1.1e-06,51.9944,198.394,418.0,85.3144,288.2088,12.62267643
GLOBALSTAR M072,-8.1e-07,52.008,294.1461,703.0,136.8228,35.28,12.62264625
GLOBALSTAR M071,-1.1e-06,52.0059,202.7997,345.0,331.6254,41.9138,12.62269337
SKYMED 1,-1.438e-05,97.8875,271.5357,1535.0,91.1723,268.972,14.82146168
TERRA SAR X,-1e-07,97.4463,93.994,2088.0,73.9007,312.4046,15.19151519
GENESIS 2,7.53e-06,64.5057,137.8204,19883.0,208.8632,151.1393,15.17691106
COSMOS 2428,7.5e-07,70.894,38.0071,6963.0,335.8093,24.27,14.12242072
COSMOS 2429,5.3e-07,82.9837,171.5705,39112.0,159.9908,200.2792,13.74937254
WORLDVIEW 1,1.722e-05,97.3606,207.6576,2227.0,141.3895,218.7502,15.24210783
CBERS 2B,6.1e-07,98.1388,69.0982,31347.0,330.5105,29.4305,14.39776573
GLOBALSTAR M067,-1.17e-06,51.9718,229.6298,208.0,288.9473,102.9988,12.40599109
GLOBALSTAR M070,-9.3e-07,51.9737,147.837,733.0,40.964,65.1688,12.62264136
GLOBALSTAR M066,-8.1e-07,51.9702,10.2077,1385.0,102.6321,68.3052,12.6227603
GLOBALSTAR M068,-5.6e-07,51.99,324.6447,678.0,10.2881,160.437,12.62725597
YAOGAN 3,-1.1e-07,97.9792,106.2444,1592.0,105.0235,255.1148,14.81075399
SKYMED 2,-1.89e-06,97.8881,271.5719,1480.0,85.5905,274.5483,14.82154606
RADARSAT 2,-3.1e-07,98.578,94.9597,1247.0,93.614,58.1179,14.2998331
CARTOSAT 2A,1.08e-06,97.8821,147.4184,13203.0,167.2489,192.9073,14.78695487
CANX-6,4e-06,97.6355,64.6979,12844.0,300.1522,59.8422,14.87134249
CUTE-1.7+APD II,4.65e-06,97.6045,68.4614,11389.0,276.4052,83.5869,14.88668048
IMS-1,5.48e-06,97.6824,62.2159,12188.0,352.1738,7.9279,14.85486626
COMPASS 1,6.2e-06,97.5263,80.8111,11664.0,196.8771,163.2063,14.94020824
AAUSAT CUBESAT 2,1.215e-05,97.5028,84.6364,11697.0,177.1899,182.939,14.954607
DELFI C3,3.368e-05,97.3857,124.8214,13304.0,69.4286,290.8369,15.08672186
CANX-2,4.23e-06,97.6134,66.8178,12127.0,281.225,78.7604,14.88311937
SEEDS,8.32e-06,97.5662,74.4902,11817.0,236.0943,123.9153,14.91326899
RUBIN 8/PSLV,1.83e-06,97.9258,50.2712,28672.0,45.6007,314.7545,14.79844956
YUBELEINY,2.8e-07,82.5001,101.8815,20055.0,152.2757,207.9397,12.43100851
COSMOS 2437,-4e-08,82.4965,103.3051,20922.0,166.1619,194.0038,12.4270902
COSMOS 2438,7e-08,82.4982,100.0216,21874.0,146.6297,213.6176,12.4331439
COSMOS 2439,1.3e-07,82.5028,103.5545,21301.0,155.2062,205.005,12.43016149
FENGYUN 3A,1.1e-07,98.4424,64.0825,7740.0,232.4414,127.606,14.18650954
GLAST,7.9e-06,25.5833,333.6705,12495.0,43.2477,316.9037,15.11488127
ORBCOMM FM 38,1.18e-06,48.4441,47.3231,6994.0,290.9065,69.1099,14.73758529
ORBCOMM FM 41,7.9e-07,48.4474,51.9785,6088.0,280.6444,216.9514,14.73602744
ORBCOMM FM 29,1.17e-06,48.4425,59.1674,8103.0,278.8099,214.8869,14.73407476
ORBCOMM FM 39,6e-07,48.443,73.1536,9009.0,261.6486,98.3405,14.72794417
ORBCOMM FM 37,8.8e-07,48.4426,64.8832,7345.0,276.0906,232.5148,14.73032679
ORBCOMM FM 40,1.24e-06,48.4455,60.7275,8921.0,279.8083,231.9294,14.73589662
JASON 2,-2.2e-07,66.0377,102.0394,8463.0,272.6969,250.2871,12.87624518
COSMOS 2441,-7e-08,98.0874,48.415,17828.0,94.3828,265.9405,14.51857045
RAPIDEYE 2,7.82e-06,97.6547,151.7214,12855.0,149.5201,210.677,14.96203191
RAPIDEYE 5,-1.03e-06,97.6513,149.8298,15637.0,36.2716,323.9561,14.94486758
RAPIDEYE 1,2.95e-06,97.6737,152.1969,27302.0,150.4446,209.8325,14.9492945
RAPIDEYE 3,-2.13e-06,97.6565,151.6458,4839.0,100.7969,259.3798,14.97442735
RAPIDEYE 4,3.08e-06,97.6609,150.8349,8388.0,60.7826,299.4233,14.95577464
HJ-1A,1.5e-06,97.7472,134.0364,24905.0,220.837,139.0981,14.77134379
HJ-1B,2.2e-06,97.7549,136.6633,33246.0,261.4702,98.2749,14.77344277
GEOEYE 1,6.3e-07,98.1037,162.6196,7633.0,237.8692,122.1769,14.64323826
DEMOSAT/FALCON 1,9.62e-06,9.3459,271.6102,13104.0,346.3071,13.6772,14.84950285
THEOS,-2.6e-07,98.6988,155.4895,1090.0,102.4615,12.1154,14.20047814
SJ-6E,1.095e-05,97.8021,66.3071,17725.0,326.5381,33.4718,14.94438113
SJ-6F,7.46e-06,97.7842,67.4149,14615.0,286.0998,73.8629,14.95063626
SKYMED 3,1.41e-06,97.8872,271.5518,1368.0,94.8602,265.2771,14.82156648
SHIYAN 3 (SY-3),3.3e-07,98.7063,93.1717,13309.0,335.0416,25.0126,14.2979365
CHUANG XIN 1-02(CX-1-0,-3e-08,98.7114,92.8873,14077.0,335.142,24.9093,14.29478256
YAOGAN 4,1.14e-06,97.7667,36.7338,17167.0,138.6627,221.5886,14.77079559
GOSAT (IBUKI),1.47e-06,98.0775,199.387,1069.0,100.1191,260.0134,14.67544338
